storage_time,drying_type,insect,sample,treatment,parameter,rep,value,detection_limit
0,oven,mw,control,oven,tvc,1,5.92,1.95
0,oven,mw,control,oven,tvc,2,6.12,1.95
0,oven,mw,control,oven,tvc,3,6,1.95
0,oven,mw,leeb,oven_leeb,tvc,1,1.95,1.95
0,oven,mw,leeb,oven_leeb,tvc,2,2.05,1.95
0,oven,mw,leeb,oven_leeb,tvc,3,1.95,1.95
1,oven,mw,control,oven,tvc,1,5.76,1.95
1,oven,mw,control,oven,tvc,2,5.61,1.95
1,oven,mw,control,oven,tvc,3,5.95,1.95
1,oven,mw,leeb,oven_leeb,tvc,1,1.95,1.95
1,oven,mw,leeb,oven_leeb,tvc,2,1.95,1.95
1,oven,mw,leeb,oven_leeb,tvc,3,1.95,1.95
2,oven,mw,control,oven,tvc,1,5.6,1.95
2,oven,mw,control,oven,tvc,2,6.13,1.95
2,oven,mw,control,oven,tvc,3,6.06,1.95
2,oven,mw,leeb,oven_leeb,tvc,1,2.9,1.95
2,oven,mw,leeb,oven_leeb,tvc,2,2.9,1.95
2,oven,mw,leeb,oven_leeb,tvc,3,3.4,1.95
3,oven,mw,control,oven,tvc,1,5.7,1.95
3,oven,mw,control,oven,tvc,2,5.8,1.95
3,oven,mw,control,oven,tvc,3,5.7,1.95
3,oven,mw,leeb,oven_leeb,tvc,1,2.9,1.95
3,oven,mw,leeb,oven_leeb,tvc,2,2.7,1.95
3,oven,mw,leeb,oven_leeb,tvc,3,2.9,1.95
4,oven,mw,control,oven,tvc,1,5.2,1.95
4,oven,mw,control,oven,tvc,2,5.1,1.95
4,oven,mw,control,oven,tvc,3,5.2,1.95
4,oven,mw,leeb,oven_leeb,tvc,1,2.8,1.95
4,oven,mw,leeb,oven_leeb,tvc,2,2.9,1.95
4,oven,mw,leeb,oven_leeb,tvc,3,3.1,1.95
5,oven,mw,control,oven,tvc,1,5.3,1.95
5,oven,mw,control,oven,tvc,2,5.3,1.95
5,oven,mw,control,oven,tvc,3,5.4,1.95
5,oven,mw,leeb,oven_leeb,tvc,1,2.8,1.95
5,oven,mw,leeb,oven_leeb,tvc,2,2.5,1.95
5,oven,mw,leeb,oven_leeb,tvc,3,2.5,1.95
6,oven,mw,control,oven,tvc,1,4.9,1.95
6,oven,mw,control,oven,tvc,2,5,1.95
6,oven,mw,control,oven,tvc,3,4.8,1.95
6,oven,mw,leeb,oven_leeb,tvc,1,2.9,1.95
6,oven,mw,leeb,oven_leeb,tvc,2,3,1.95
6,oven,mw,leeb,oven_leeb,tvc,3,2.8,1.95
0,oven,mw,control,oven,anaer.tvc,1,5.69,1
0,oven,mw,control,oven,anaer.tvc,2,5.85,1
0,oven,mw,control,oven,anaer.tvc,3,5.47,1
0,oven,mw,leeb,oven_leeb,anaer.tvc,1,1.87,1
